BARRIO,ESTRENAR,POZO,INDEX,USADO,,dic 2020
Puerto Madero,6.208,7.348,5.786,5.600,,
Palermo,3.469,3.085,3.313,3.234,,
Belgrano,3.539,3.280,3.164,3.013,,
Nuñez,3.136,2.798,3.039,2.982,,
Recoleta,3.207,3.052,2.973,2.917,,
Retiro,3.185,3.887,2.926,2.892,,
Colegiales,3.162,3.019,2.888,2.787,,
Villa Urquiza,2.807,2.478,2.801,2.797,,
Coghlan,2.697,2.619,2.690,2.685,,
Chacarita,2.656,2.527,2.643,2.634,,
Villa Devoto,2.627,2.484,2.591,2.564,,
Saavedra,2.633,2.667,2.588,2.538,,
Villa Ortuzar,2.522,2.247,2.586,2.637,,
Caballito,2.805,2.700,2.583,2.471,,
Villa Crespo,2.715,2.647,2.527,2.393,,
Parque Chas,2.411,2.077,2.431,2.461,,
Agronomía,2.562,-,2.420,2.376,,
Almagro,2.585,2.478,2.418,2.324,,
San Telmo,2.687,2.841,2.417,2.278,,
Villa Pueyrredon,2.415,2.345,2.414,2.413,,
Barracas,2.478,2.657,2.364,2.323,,
Villa del Parque,2.434,2.236,2.357,2.314,,
Parque Chacabuco,2.386,2.574,2.343,2.281,,
Monte Castro,2.434,2.027,2.335,2.228,,
Villa Luro,2.450,2.296,2.325,2.196,,
Liniers,2.452,2.331,2.294,2.075,,
Paternal,2.357,2.279,2.270,2.077,,
Santa Rita,2.508,2.455,2.261,2.080,,
Flores,2.489,2.388,2.232,2.060,,
Boedo,2.392,2.439,2.229,2.138,,
San Nicolás,2.546,2.252,2.163,2.112,,
Versalles,2.259,-,2.159,2.070,,
Mataderos,2.284,1.898,2.084,1.907,,
Monserrat,2.413,2.070,2.083,2.023,,
Villa Real,2.279,-,2.066,2.024,,
Velez Sarsfield,2.240,1.843,2.050,1.944,,
Balvanera,2.354,2.144,2.043,1.979,,
Parque Patricios,2.360,2.332,2.022,1.867,,
San Cristobal,2.097,2.051,2.015,1.981,,
Constitución,2.119,1.995,1.960,1.791,,
Floresta,2.191,2.018,1.929,1.883,,
Nueva Pompeya,2.124,-,1.872,1.702,,
Parque Avellaneda,1.981,-,1.842,1.692,,
La Boca,1.871,2.032,1.781,1.764,,
Villa Riachuelo,-,-,1.748,1.729,,
Lugano,1.539,1.598,1.125,1.104,,
Villa Soldati,-,-,836,815,,
